Date,HomeTeam,AwayTeam,FTHG,FTAG,HY,AY,HR,AR,HC,AC,HO,AO,total_goals,total_cards,total_corners,total_offsides,home_avg_goals,home_avg_cards,home_avg_corners,home_avg_offsides,away_avg_goals,away_avg_cards,away_avg_corners,away_avg_offsides,home_is_Arsenal,away_is_Arsenal,home_is_Aston Villa,away_is_Aston Villa,home_is_Bournemouth,away_is_Bournemouth,home_is_Brentford,away_is_Brentford,home_is_Brighton,away_is_Brighton,home_is_Burnley,away_is_Burnley,home_is_Chelsea,away_is_Chelsea,home_is_Crystal Palace,away_is_Crystal Palace,home_is_Everton,away_is_Everton,home_is_Fulham,away_is_Fulham,home_is_Ipswich,away_is_Ipswich,home_is_Leeds,away_is_Leeds,home_is_Leicester,away_is_Leicester,home_is_Liverpool,away_is_Liverpool,home_is_Luton,away_is_Luton,home_is_Man City,away_is_Man City,home_is_Man United,away_is_Man United,home_is_Newcastle,away_is_Newcastle,home_is_Nott'm Forest,away_is_Nott'm Forest,home_is_Sheffield United,away_is_Sheffield United,home_is_Southampton,away_is_Southampton,home_is_Sunderland,away_is_Sunderland,home_is_Tottenham,away_is_Tottenham,home_is_West Ham,away_is_West Ham,home_is_Wolves,away_is_Wolves,is_weekend,year,month,home_avg_gs_5,home_avg_gc_5,away_avg_gs_5,away_avg_gc_5,rest_days_home,rest_days_away,h2h_avg_goals,home_points,away_points,goal_diff,home_points_5,home_points_10,home_gd_5,home_gd_10,home_elo_like,away_points_5,away_points_10,away_gd_5,away_gd_10,away_elo_like,elo_diff,points5_diff,gd5_diff
2022-09-16,Aston Villa,Southampton,1,0,3,1,0,0,6,3,,,1,4,9,0.0,1.0,2.4,2.8,0.0,1.2,1.6,4.6,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2022,9,,,,,13.0,13.0,,3,0,1,0.8,,-0.6,,0.06484306138607937,1.4,,0.0,,0.5431273329505995,-0.4782842715645201,-0.5999999999999999,-0.6
2022-09-16,Nott'm Forest,Fulham,2,3,2,4,0,0,2,10,,,5,6,12,0.0,0.8,3.0,3.8,0.0,1.4,3.0,3.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,,,,,13.0,13.0,,0,3,-1,0.8,,-1.6,,-0.3840651870949017,1.4,,0.0,,0.7699679229296631,-1.1540331100245649,-0.5999999999999999,-1.6
2022-09-17,Tottenham,Leicester,6,2,1,2,0,0,6,1,,,8,3,7,0.0,1.6,2.2,5.6,0.0,1.2,1.4,3.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2022,9,,,,,14.0,13.0,,3,0,4,2.2,,0.8,,1.8386009019141663,0.0,,-1.6,,-0.5007237082203095,2.339324610134476,2.2,2.4000000000000004
2022-09-17,Wolves,Man City,0,3,2,1,1,0,5,7,,,3,4,12,0.0,0.4,2.4,5.0,0.0,3.6,0.6,7.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2022,9,,,,,14.0,14.0,,0,3,-3,1.2,,0.0,,0.6598665269475135,2.2,,2.4,,2.2813378891452305,-1.621471362197717,-1.0000000000000002,-2.4
2022-09-17,Newcastle,Bournemouth,1,1,2,2,0,0,8,1,,,2,4,9,0.0,1.0,2.4,6.8,0.0,0.6,1.8,2.6,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,9,,,,,14.0,14.0,,1,1,0,0.8,,-0.2,,0.6599668344861588,0.8,,-3.0,,-0.12064350487345252,0.7806103393596113,0.0,2.8
2022-09-18,Brentford,Arsenal,0,3,0,2,0,0,3,3,,,3,2,6,0.0,2.6,1.6,5.4,0.0,2.4,1.8,6.8,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,9,,,,,15.0,14.0,,0,3,-3,1.6,,1.2,,1.3486954684468762,2.4,,1.0,,1.7906248732816992,-0.441929404834823,-0.7999999999999998,0.19999999999999996
2022-09-18,Everton,West Ham,1,0,3,1,0,0,5,14,,,1,4,19,0.0,0.8,2.2,5.6,0.0,0.6,1.4,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2022,9,,,,,15.0,15.0,,3,0,1,0.8,,-0.2,,0.33395239446899955,0.8,,-0.6,,0.1288990287242374,0.20505336574476216,0.0,0.39999999999999997
2022-10-01,Arsenal,Tottenham,3,1,2,1,0,1,5,2,,,4,4,7,0.0,2.2,2.0,6.2,0.0,2.4,2.4,5.8,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2022,10,,,,,31.0,31.0,,3,0,2,2.4,,1.2,,2.0224377811824383,2.6,,1.6,,2.1378897307683236,-0.11545194958588523,-0.20000000000000018,-0.40000000000000013
2022-10-01,West Ham,Wolves,2,0,2,2,0,0,1,6,,,2,4,7,0.0,0.6,1.4,5.4,0.0,0.4,2.4,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2022,10,,,,,31.0,31.0,,3,0,2,0.8,,-0.6,,0.02751971379890201,1.0,,-0.6,,0.30336749005325053,-0.27584777625434853,-0.19999999999999996,0.0
2022-10-01,Southampton,Everton,1,2,2,2,0,0,7,6,,,3,4,13,0.0,0.8,1.6,4.8,0.0,0.8,2.6,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2022,10,,,,,32.0,32.0,,0,3,-1,1.2,,-0.2,,0.3623487765359262,1.4,,0.2,,0.6916362199112865,-0.32928744337536037,-0.19999999999999996,-0.4
