,null_count,count,unique,top,freq,mean,min,25%,50%,75%,max,std,variance_targets
home_is_Sunderland,0,1205.0,,,,0.0033195020746887966,0.0,0.0,0.0,0.0,1.0,0.05754329578775718,
away_is_Sunderland,0,1205.0,,,,0.004149377593360996,0.0,0.0,0.0,0.0,1.0,0.06430857085756032,
home_is_Tottenham,0,1205.0,,,,0.05062240663900415,0.0,0.0,0.0,0.0,1.0,0.21931642743921764,
away_is_Tottenham,0,1205.0,,,,0.04979253112033195,0.0,0.0,0.0,0.0,1.0,0.2176063686378325,
home_is_West Ham,0,1205.0,,,,0.05062240663900415,0.0,0.0,0.0,0.0,1.0,0.21931642743921764,
away_is_West Ham,0,1205.0,,,,0.04979253112033195,0.0,0.0,0.0,0.0,1.0,0.2176063686378325,
home_is_Wolves,0,1205.0,,,,0.051452282157676346,0.0,0.0,0.0,0.0,1.0,0.2210101366157151,
away_is_Wolves,0,1205.0,,,,0.04979253112033195,0.0,0.0,0.0,0.0,1.0,0.2176063686378325,
is_weekend,0,1205.0,,,,0.7767634854771784,0.0,1.0,1.0,1.0,1.0,0.4165885196196257,
year,0,1205.0,,,,2023.7526970954357,2022.0,2023.0,2024.0,2025.0,2025.0,0.9585702490126746,
month,0,1205.0,,,,6.7941908713692944,1.0,3.0,8.0,10.0,12.0,3.8240973286280586,
home_avg_gs_5,61,1144.0,,,,1.6484265734265735,0.0,1.2,1.6,2.05,4.8,0.7157258475960137,
home_avg_gc_5,61,1144.0,,,,1.3480769230769232,0.0,0.8,1.2,1.8,4.2,0.6508328127546684,
away_avg_gs_5,64,1141.0,,,,1.3791411042944786,0.0,1.0,1.4,1.8,4.0,0.6150906068487116,
away_avg_gc_5,64,1141.0,,,,1.6241893076248903,0.0,1.2,1.6,2.0,3.8,0.6526950707330774,
rest_days_home,0,1205.0,,,,20.085477178423236,3.0,11.0,14.0,21.0,813.0,33.482059904135305,
rest_days_away,0,1205.0,,,,20.390871369294604,3.0,11.0,14.0,21.0,825.0,36.033586441191716,
h2h_avg_goals,970,235.0,,,,2.991489361702128,1.0,2.6,3.0,3.5,5.6,0.7600691003320063,
home_points,0,1205.0,,,,1.5892116182572613,0.0,0.0,1.0,3.0,3.0,1.3411639435404397,
away_points,0,1205.0,,,,1.1883817427385892,0.0,0.0,1.0,3.0,3.0,1.3074782810740488,
goal_diff,0,1205.0,,,,0.2713692946058091,-8.0,-1.0,0.0,1.0,7.0,1.9225584768471744,
